Label,Trial_ID,Time,S0,S1,S2,S3,S4
ball,1,0.0,4556623.84,5051482.04,10378995.31,11893577.97,12840274.16
ball,1,0.05,4556971.97,5051252.43,10378335.51,11913672.87,12926926.47
ball,1,0.1,4562365.46,5018499.79,10440817.26,11840180.18,12918217.7
ball,1,0.15,4555445.21,5048825.8,10441077.92,11901298.28,12849049.78
ball,1,0.2,4584505.54,5019810.2,10377829.52,11902521.81,12921553.73
ball,1,0.25,4557585.46,5020342.09,10384447.3,11909439.48,12907088.22
ball,1,0.3,4590143.47,5023518.14,10435778.76,11842761.75,12918790.22
ball,1,0.35,4584704.74,5026104.74,10375126.54,11823823.43,12825838.21
ball,1,0.4,4585992.85,5054367.07,10430583.34,11826946.62,12925830.21
ball,1,0.45,4557795.19,5025799.08,10446072.86,11895420.46,12829247.78
ball,1,0.5,4560403.7,5051618.51,10374043.86,11894634.82,12840450.74
ball,1,0.55,4585978.88,5049494.17,10375255.02,11833901.33,12920839.45
ball,1,0.6,4587908.18,5056591.73,10437189.14,11830026.98,12845600.26
ball,1,0.65,4584476.0,5027535.92,10383069.39,11824818.48,12832682.73
ball,1,0.7,4557752.86,5053021.09,10376226.03,11823001.55,12831946.71
ball,1,0.75,4585489.66,5027167.67,10434304.67,11897132.39,12842565.62
ball,1,0.8,4589211.75,5056398.85,10445880.32,11828761.55,12925794.25
ball,1,0.85,4563129.77,5053348.79,10434504.31,11839780.74,12915193.68
ball,1,0.9,4586934.09,5049928.75,10450162.67,11899928.88,12843052.34
ball,1,0.95,4588836.09,5026380.78,10438244.58,11895900.47,12828991.46
ball,1,1.0,4588470.55,5053682.09,10382004.21,11833542.19,12926392.79
ball,1,1.05,4589062.13,5052052.3,10375081.11,11833888.1,12840830.94
ball,1,1.1,4554948.57,5025396.89,10445650.27,11832421.21,12845265.88
ball,1,1.15,4561058.89,5058493.72,10435530.99,11910547.36,12835057.41
ball,1,1.2,4556876.63,5048693.71,10379134.48,11834104.71,12838369.45
ball,1,1.25,4558694.27,5052334.27,10371955.36,11904758.62,12828475.41
ball,1,1.3,4556675.68,5050958.78,10431639.27,11820078.08,12916067.9
ball,1,1.35,4587720.18,5027931.91,10384547.7,11906409.34,12916854.73
ball,1,1.4,4559167.56,5026822.36,10373501.85,11836372.23,12847201.13
ball,1,1.45,4562080.59,5053837.74,10379046.51,11913116.49,12926733.17
ball,1,1.5,4590712.49,5048654.75,10432532.26,11834379.8,12848245.33
ball,1,1.55,4561417.13,5051332.23,10386402.17,11825344.98,12833898.8
ball,1,1.6,4557567.93,5026697.98,10380407.64,11842459.33,12848547.38
ball,1,1.65,4586363.47,5019360.38,10381844.11,11842420.65,12923438.66
ball,1,1.7,4589016.95,5024868.98,10432825.25,11833751.66,12841920.23
ball,1,1.75,4582877.08,5018934.3,10443029.12,11840160.15,12905075.64
