Label,Trial_ID,Time,S0,S1,S2,S3,S4
book,1,0.0,3108765.54,3338408.4,8703014.52,10163763.03,11099307.12
book,1,0.05,3127575.8,3358053.08,8698508.61,10167678.72,11166154.87
book,1,0.1,3126086.37,3340539.3,8752523.93,10242371.65,11174210.44
book,1,0.15,3110404.7,3358089.99,8703708.52,10241915.91,11104761.44
book,1,0.2,3128524.62,3336602.3,8708151.44,10234991.75,11109705.35
book,1,0.25,3129796.58,3357687.25,8764675.2,10241366.23,11105943.97
book,1,0.3,3127957.79,3339925.78,8711072.11,10179808.27,11101072.51
book,1,0.35,3130614.1,3355296.69,8706203.27,10234291.15,11172884.3
book,1,0.4,3129001.3,3337106.13,8757843.95,10244010.65,11164116.38
book,1,0.45,3112678.77,3339256.33,8697880.68,10167495.03,11159354.4
book,1,0.5,3126106.08,3340854.6,8696925.17,10233421.19,11107429.67
book,1,0.55,3127701.05,3337734.15,8749116.5,10180486.7,11109846.5
book,1,0.6,3127198.2,3360721.83,8765795.21,10225534.89,11163725.11
book,1,0.65,3125816.98,3355868.46,8706096.13,10237968.48,11094401.07
book,1,0.7,3106848.24,3337123.84,8712568.02,10229524.5,11100695.0
book,1,0.75,3130436.86,3360148.65,8704523.28,10240494.16,11105478.24
book,1,0.8,3125691.98,3335328.91,8758766.45,10238885.78,11110231.64
book,1,0.85,3112282.83,3341217.97,8698235.65,10169814.6,11163635.17
book,1,0.9,3126151.36,3361111.21,8697588.28,10178513.32,11173341.12
book,1,0.95,3112398.64,3357777.88,8759274.86,10170721.29,11174499.65
book,1,1.0,3110504.11,3337430.51,8765771.78,10238821.83,11098073.66
book,1,1.05,3111322.24,3338410.03,8708912.92,10237609.56,11180266.69
book,1,1.1,3128494.19,3335121.0,8701203.36,10165502.99,11112032.02
book,1,1.15,3130591.16,3361077.96,8749242.33,10167399.35,11098310.01
book,1,1.2,3126898.7,3355140.16,8701058.31,10182644.82,11098938.94
book,1,1.25,3107379.15,3339609.48,8705893.48,10176260.51,11163309.07
book,1,1.3,3129253.05,3356526.86,8765991.4,10231368.31,11099570.13
book,1,1.35,3125490.96,3335262.47,8697369.9,10227795.94,11162489.94
book,1,1.4,3131428.2,3334624.77,8709783.47,10171284.39,11104813.05
book,1,1.45,3126470.16,3357031.2,8712534.73,10180430.04,11113526.87
book,1,1.5,3109657.3,3357473.09,8760508.84,10164472.59,11106652.34
book,1,1.55,3131281.0,3337103.32,8751770.22,10178260.44,11162613.48
book,1,1.6,3128268.87,3356486.94,8706753.51,10229778.97,11098179.68
book,1,1.65,3110924.33,3340023.88,8761888.47,10228000.41,11165761.4
book,1,1.7,3108848.94,3339784.72,8749378.7,10230901.81,11097168.87
book,1,1.75,3107657.33,3340902.18,8704954.14,10229575.39,11104741.59
book,1,1.8,3107043.78,3340508.86,8706565.7,10174456.55,11098719.76
book,1,1.85,3125857.06,3339156.68,8701411.41,10181344.88,11104219.09
book,1,1.9,3107863.67,3359228.82,8755624.47,10232314.5,11175293.97
book,1,1.95,3131153.2,3338010.73,8702561.34,10235437.44,11165979.78
book,2,2.0,3132107.79,3339504.38,8687366.75,10223380.05,11110527.86
book,2,2.05,3149948.06,3339767.77,8695079.38,10235079.67,11107931.09
book,2,2.1,3150227.04,3315344.98,8736561.5,10289151.76,11032507.22
book,2,2.15,3133163.74,3336275.71,8746448.25,10234295.65,11095863.59
book,2,2.2,3150492.68,3335721.52,8747714.47,10227367.23,11040596.34
book,2,2.25,3151520.61,3316237.6,8747539.19,10293345.71,11027989.63
book,2,2.3,3148668.69,3339809.78,8697218.01,10282548.56,11109599.48
book,2,2.35,3149998.83,3340423.16,8687937.66,10224059.21,11047246.77
book,2,2.4,3129374.94,3335418.5,8738626.9,10289946.31,11096268.21
book,2,2.45,3149179.1,3339941.56,8742608.84,10288725.04,11040298.5
book,2,2.5,3130441.52,3337969.99,8688759.71,10280128.65,11035609.05
book,2,2.55,3134743.31,3336040.59,8748645.78,10236455.99,11092848.5
book,2,2.6,3132317.08,3316381.83,8740130.62,10231373.41,11036977.5
book,2,2.65,3129268.54,3338156.68,8699129.75,10281956.54,11029136.32
book,2,2.7,3134927.11,3338338.11,8745589.43,10295235.61,11095529.39
book,2,2.75,3152328.23,3336788.63,8699945.46,10223747.63,11046924.37
book,2,2.8,3148397.85,3336852.63,8685932.92,10233392.21,11109442.25
book,2,2.85,3130628.33,3315667.3,8695891.44,10220367.99,11099991.59
book,2,2.9,3131225.59,3314961.57,8747222.35,10279700.16,11034766.25
book,2,2.95,3130943.62,3315268.78,8736345.09,10236649.91,11027747.33
book,2,3.0,3129278.11,3336550.74,8744695.21,10287654.87,11099188.4
book,2,3.05,3151547.36,3339999.32,8691788.48,10287737.39,11104420.09
book,2,3.1,3134196.44,3340126.45,8699999.72,10222436.63,11030477.24
book,2,3.15,3149657.15,3318619.92,8688699.35,10217028.01,11093900.32
book,2,3.2,3149378.86,3314380.93,8690261.42,10235413.9,11044066.76
book,2,3.25,3148344.49,3334851.72,8697080.33,10289751.9,11037968.54
book,2,3.3,3129894.88,3317345.76,8750740.09,10278612.76,11037360.01
book,2,3.35,3150911.85,3319463.19,8747546.89,10218584.17,11108965.53
book,2,3.4,3149610.16,3335315.6,8686834.41,10220310.22,11033440.65
book,2,3.45,3152003.59,3335455.0,8745889.61,10291455.63,11096262.39
book,2,3.5,3148551.67,3335308.22,8700734.97,10297266.76,11095631.95
book,2,3.55,3133745.29,3335559.88,8748972.52,10285537.22,11094914.12
book,2,3.6,3148057.39,3340319.67,8747420.2,10227917.07,11094997.94
book,2,3.65,3152360.54,3315790.74,8749075.84,10219244.56,11037111.44
book,2,3.7,3152039.24,3338843.4,8739330.73,10234680.94,11027195.59
book,2,3.75,3148774.88,3319174.03,8684570.28,10223367.78,11108563.5
book,2,3.8,3130868.22,3318232.01,8692119.48,10231855.2,11104933.52
book,2,3.85,3151772.08,3337852.5,8737596.35,10220108.29,11105487.75
