Label,Trial_ID,Time,S0,S1,S2,S3,S4
bottle,1,0.0,3250279.43,3581816.1,9046107.38,10583608.83,11784622.43
bottle,1,0.05,3267158.32,3583498.17,8987452.7,10528753.33,11778872.28
bottle,1,0.1,3267346.5,3581595.71,9035618.32,10579526.67,11784339.78
bottle,1,0.15,3249997.12,3578677.35,9042241.53,10592855.55,11794786.75
bottle,1,0.2,3272496.53,3579608.32,9042546.98,10596155.84,11797539.18
bottle,1,0.25,3250977.95,3561226.52,9041460.64,10583773.04,11779358.75
bottle,1,0.3,3250109.16,3560867.4,9032122.9,10593376.95,11865041.17
bottle,1,0.35,3268490.52,3582623.24,9031919.25,10597968.97,11862001.78
bottle,1,0.4,3272299.86,3576934.98,8986175.23,10579400.88,11851829.57
bottle,1,0.45,3267975.21,3578667.31,8983948.46,10517447.86,11870078.22
bottle,1,0.5,3271752.34,3561900.79,9041126.48,10585384.03,11861197.95
bottle,1,0.55,3270559.55,3558311.0,9032444.81,10588063.38,11850218.77
bottle,1,0.6,3269715.79,3576688.74,8983319.45,10581941.57,11782430.09
bottle,1,0.65,3248175.31,3559465.83,8986543.5,10584956.23,11788590.0
bottle,1,0.7,3270819.56,3556960.53,9045942.9,10595388.07,11864846.86
bottle,1,0.75,3252451.29,3558830.53,9035050.15,10583134.47,11786443.16
bottle,1,0.8,3267829.42,3559112.83,8985804.55,10520462.97,11849337.28
bottle,1,0.85,3251467.64,3557521.38,9034872.45,10531218.63,11777923.21
bottle,1,0.9,3251890.67,3578155.88,8983165.07,10597389.97,11850233.18
bottle,1,0.95,3248336.64,3555133.76,9031462.39,10588952.46,11779120.83
bottle,1,1.0,3249098.88,3555577.59,8983129.53,10577797.8,11848772.53
bottle,1,1.05,3268692.62,3557494.32,9036178.15,10529784.29,11783313.75
bottle,1,1.1,3270377.93,3556674.92,9038178.43,10532005.03,11857745.4
bottle,1,1.15,3247814.29,3576557.01,8986696.42,10593845.44,11863478.74
bottle,1,1.2,3271606.22,3580455.38,9039010.45,10521313.3,11854912.81
bottle,1,1.25,3248980.97,3579977.05,8992343.66,10588944.51,11779676.82
bottle,1,1.3,3251780.8,3557139.03,9030275.5,10517089.39,11779236.95
bottle,1,1.35,3267901.01,3582931.07,8985601.44,10529674.39,11790920.45
bottle,1,1.4,3249801.74,3581694.28,8992609.41,10594728.94,11857520.32
bottle,1,1.45,3252279.26,3582878.96,9032696.85,10589066.88,11851226.9
bottle,1,1.5,3268026.89,3581009.64,9044959.12,10581836.91,11857060.66
bottle,1,1.55,3270090.85,3581107.8,8980775.34,10585063.97,11784539.04
bottle,1,1.6,3269342.56,3559170.05,8976206.08,10531422.66,11850760.13
bottle,1,1.65,3273595.83,3560583.08,9033669.35,10581796.72,11861446.06
