Label,Trial_ID,Time,S0,S1,S2,S3,S4
mouse,1,0.0,3347406.89,3442650.64,9243179.99,10927441.46,12015633.25
mouse,1,0.05,3350220.38,3438355.18,9174591.95,10873901.44,12092093.65
mouse,1,0.1,3373259.78,3422647.67,9177762.78,10918915.47,12015384.0
mouse,1,0.15,3369581.5,3417244.64,9184965.18,10922137.5,12092559.58
mouse,1,0.2,3351805.36,3441979.81,9181454.34,10864264.69,12081416.22
mouse,1,0.25,3353377.88,3442288.8,9184017.95,10939616.1,12085350.62
mouse,1,0.3,3348971.39,3418148.87,9240232.56,10928998.0,12022168.46
mouse,1,0.35,3349302.07,3418416.4,9183858.97,10936292.49,12080399.82
mouse,1,0.4,3349160.68,3418573.27,9244962.34,10853688.15,12010073.76
mouse,1,0.45,3372189.03,3442307.31,9235020.53,10863243.3,12015959.49
mouse,1,0.5,3353948.56,3439375.38,9179163.68,10854924.22,12097986.78
mouse,1,0.55,3352693.31,3442140.13,9230527.05,10927718.12,12077494.12
mouse,1,0.6,3350411.87,3438263.89,9236688.32,10930946.0,12024955.44
mouse,1,0.65,3350949.47,3436885.98,9190743.17,10923142.67,12019281.22
mouse,1,0.7,3350898.14,3441068.31,9174976.82,10926240.45,12094852.82
mouse,1,0.75,3372354.22,3419335.75,9240353.58,10860103.56,12027379.0
mouse,1,0.8,3352588.86,3436829.09,9186793.04,10862203.78,12006159.42
mouse,1,0.85,3370198.51,3441159.87,9176330.22,10854793.52,12018461.11
mouse,1,0.9,3368947.72,3442467.74,9181490.49,10934697.61,12014621.63
mouse,1,0.95,3367736.54,3422479.79,9237391.67,10929288.95,12007435.39
mouse,1,1.0,3349935.39,3441497.6,9237295.48,10931160.28,12015663.11
mouse,1,1.05,3371111.76,3441105.31,9187273.74,10853716.69,12093715.27
mouse,1,1.1,3352197.52,3422454.42,9190486.57,10869923.27,12096482.4
mouse,1,1.15,3352278.56,3436943.08,9187248.43,10860526.09,12015425.16
mouse,1,1.2,3350672.38,3416447.38,9187082.51,10859331.59,12021463.66
mouse,1,1.25,3368021.05,3416358.71,9184068.54,10871468.7,12075723.21
mouse,1,1.3,3349911.38,3443222.38,9244031.77,10870021.21,12012776.48
mouse,1,1.35,3348214.45,3439209.98,9242028.03,10868270.2,12012434.75
mouse,1,1.4,3372928.74,3419461.77,9234777.12,10939539.14,12018494.62
mouse,1,1.45,3351444.21,3420295.56,9189688.67,10924933.26,12081254.39
mouse,1,1.5,3353785.98,3421705.2,9244551.72,10921801.14,12018518.28
mouse,1,1.55,3370152.05,3441988.28,9190442.25,10873822.77,12098137.47
mouse,1,1.6,3352281.48,3442614.7,9173299.77,10920437.3,12014884.57
mouse,1,1.65,3372379.28,3417881.78,9187297.64,10926131.04,12085973.5
mouse,1,1.7,3369651.99,3439519.65,9228870.22,10926883.59,12098547.93
mouse,1,1.75,3371471.37,3440383.66,9242447.41,10869643.68,12019886.06
mouse,1,1.8,3368331.33,3441865.12,9182081.52,10929216.5,12096959.95
mouse,1,1.85,3352277.25,3420423.13,9175739.93,10927566.91,12008609.82
mouse,1,1.9,3371957.89,3421424.68,9178695.95,10871155.13,12018516.22
mouse,1,1.95,3368457.65,3421527.29,9243073.49,10869982.03,12095618.6
mouse,2,2.0,3370093.58,3420989.78,9248849.58,10998119.5,12159361.89
mouse,2,2.05,3350355.24,3400562.48,9236165.24,10929907.16,12107137.08
mouse,2,2.1,3369906.77,3422117.19,9182887.53,10990406.17,12174292.16
mouse,2,2.15,3370435.8,3419956.95,9241345.56,10939266.27,12174138.45
mouse,2,2.2,3373156.64,3401816.66,9234484.37,10919547.91,12101523.58
mouse,2,2.25,3350985.86,3402077.8,9235892.71,10990679.85,12161066.22
mouse,2,2.3,3348598.98,3399338.89,9192496.85,10992710.66,12170058.36
mouse,2,2.35,3374228.25,3399145.61,9189325.81,10921228.05,12087338.64
mouse,2,2.4,3372637.62,3396748.12,9248258.21,10985522.14,12161920.34
mouse,2,2.45,3371942.76,3398808.26,9234975.85,10999313.7,12094665.51
mouse,2,2.5,3353915.31,3418391.5,9236566.92,10994992.18,12161491.91
mouse,2,2.55,3348634.42,3401726.93,9188076.14,10995722.59,12167617.47
mouse,2,2.6,3349112.59,3417532.58,9190683.23,10996438.79,12160935.33
mouse,2,2.65,3370967.33,3421345.95,9186501.52,10995097.83,12159905.69
mouse,2,2.7,3353454.86,3395823.26,9240977.36,10928566.28,12087091.23
mouse,2,2.75,3351676.22,3417016.86,9188546.81,11001232.76,12099650.64
mouse,2,2.8,3351180.45,3422768.15,9190603.96,11003554.64,12089994.49
mouse,2,2.85,3368891.13,3419860.36,9175496.81,10925218.93,12168651.52
mouse,2,2.9,3354711.93,3417344.46,9248208.63,10926876.41,12177414.26
mouse,2,2.95,3372434.22,3416584.07,9184863.52,11005728.77,12107287.57
mouse,2,3.0,3372785.49,3422069.36,9233446.26,11003580.34,12162716.9
mouse,2,3.05,3351544.85,3421889.99,9237107.56,10923721.82,12097771.4
mouse,2,3.1,3373730.94,3401828.69,9236813.0,10938012.37,12167127.04
mouse,2,3.15,3350171.49,3398406.48,9189234.1,11000655.87,12091596.77
mouse,2,3.2,3369364.21,3396653.14,9187148.03,10934782.24,12179864.79
mouse,2,3.25,3351287.19,3398156.97,9237908.33,10926204.23,12108239.76
mouse,2,3.3,3371216.2,3399298.65,9235648.79,10923339.0,12168318.87
mouse,2,3.35,3352336.86,3401645.49,9177342.75,10988369.22,12091106.38
mouse,2,3.4,3372752.5,3402228.72,9184698.39,10931138.01,12167738.23
mouse,2,3.45,3351690.5,3400062.16,9232711.34,10993037.86,12173657.52
mouse,2,3.5,3368211.39,3418290.04,9239580.73,11002912.99,12171030.5
mouse,2,3.55,3348158.49,3419782.58,9241689.66,10990739.95,12086883.79
mouse,2,3.6,3371488.13,3416412.61,9179655.75,10999165.46,12162996.77
mouse,2,3.65,3373714.34,3416666.72,9189346.51,10922603.72,12158095.9
mouse,2,3.7,3373649.83,3400605.66,9236807.11,10985894.63,12105720.43
