Label,Trial_ID,Time,S0,S1,S2,S3,S4
multimeter,1,0.0,3632525.84,4464319.92,9634749.31,11335489.65,12360186.18
multimeter,1,0.05,3611014.2,4468322.14,9577716.25,11258924.59,12423140.83
multimeter,1,0.1,3608114.81,4466735.11,9638797.97,11336327.62,12431749.79
multimeter,1,0.15,3610365.23,4438099.03,9637717.66,11323341.59,12442339.52
multimeter,1,0.2,3633318.56,4464423.93,9587724.95,11333802.1,12431321.25
multimeter,1,0.25,3606573.44,4437396.61,9589419.3,11265427.55,12441349.63
multimeter,1,0.3,3609334.66,4441235.83,9647460.47,11256859.96,12354694.75
multimeter,1,0.35,3609107.96,4472690.43,9574837.33,11333627.97,12433721.84
multimeter,1,0.4,3608553.0,4444302.2,9641773.05,11264034.6,12439863.11
multimeter,1,0.45,3606318.59,4445543.54,9644685.46,11252863.88,12442115.23
multimeter,1,0.5,3627963.13,4472417.94,9573342.27,11265178.46,12347174.62
multimeter,1,0.55,3632142.3,4438797.42,9634601.08,11249575.65,12430401.06
multimeter,1,0.6,3606775.76,4443529.45,9644088.97,11260707.93,12423589.38
multimeter,1,0.65,3628179.86,4472468.0,9633031.36,11329313.4,12366605.1
multimeter,1,0.7,3631963.3,4467888.17,9635752.24,11251419.98,12442438.32
multimeter,1,0.75,3627143.68,4465842.98,9581655.6,11269344.06,12356275.25
multimeter,1,0.8,3628303.11,4438975.04,9575083.16,11252704.52,12359981.66
multimeter,1,0.85,3606224.42,4471944.5,9641497.42,11253858.93,12365258.6
multimeter,1,0.9,3626928.21,4442643.94,9635340.45,11317206.4,12364475.32
multimeter,1,0.95,3627684.38,4469832.71,9577470.03,11324081.33,12348020.26
multimeter,1,1.0,3632697.99,4469275.41,9635592.11,11328095.28,12435875.96
multimeter,1,1.05,3611918.64,4441378.36,9574299.75,11326029.01,12352220.69
multimeter,1,1.1,3610467.3,4443881.35,9589583.97,11255997.57,12350015.12
multimeter,1,1.15,3609486.38,4466572.36,9643025.52,11268474.5,12356464.26
multimeter,1,1.2,3609650.05,4464492.59,9637026.09,11330810.25,12442190.96
multimeter,1,1.25,3609408.31,4444745.45,9579183.88,11329238.27,12441840.82
multimeter,1,1.3,3610122.24,4467732.9,9646243.1,11263264.77,12435834.27
multimeter,1,1.35,3630299.07,4465756.38,9642593.26,11253194.68,12435214.11
multimeter,1,1.4,3611232.34,4445558.63,9639613.73,11253654.53,12361626.24
multimeter,1,1.45,3609606.85,4438477.07,9579622.92,11259048.93,12426344.73
multimeter,1,1.5,3609330.62,4466838.13,9641279.51,11265249.48,12437417.45
multimeter,1,1.55,3608189.61,4466196.04,9645966.89,11335180.59,12368574.65
multimeter,1,1.6,3611034.94,4470363.35,9639996.7,11317963.99,12435697.93
multimeter,1,1.65,3627209.92,4464271.73,9582358.45,11331149.63,12443315.17
multimeter,1,1.7,3629786.58,4465423.46,9632972.1,11324359.48,12349477.87
multimeter,1,1.75,3633408.14,4438732.24,9631834.54,11253365.45,12425014.17
multimeter,1,1.8,3628788.99,4467739.27,9576182.66,11319036.82,12355030.79
multimeter,1,1.85,3632369.11,4469900.06,9583451.12,11260570.98,12361279.93
multimeter,1,1.9,3611747.3,4464857.47,9641407.85,11261702.24,12436775.02
multimeter,1,1.95,3631928.83,4464202.42,9632440.93,11256100.8,12349764.76
multimeter,2,2.0,3630354.49,4465197.41,9582935.25,11274178.46,12347451.12
multimeter,2,2.05,3612630.38,4463906.89,9585634.59,11338241.72,12348773.94
multimeter,2,2.1,3630485.18,4470636.61,9586043.45,11277318.7,12333945.31
multimeter,2,2.15,3632887.39,4468943.62,9645212.91,11265227.32,12336520.86
multimeter,2,2.2,3608514.06,4438479.48,9648972.32,11344055.36,12332534.49
multimeter,2,2.25,3613788.74,4436330.34,9649857.79,11339805.94,12275047.59
multimeter,2,2.3,3629469.36,4463461.39,9592491.39,11261103.48,12255766.28
multimeter,2,2.35,3633289.7,4440864.6,9594879.77,11279368.8,12275619.59
multimeter,2,2.4,3629029.03,4462431.77,9587863.64,11340563.91,12265227.4
multimeter,2,2.45,3613570.64,4440896.65,9645278.29,11345524.65,12348422.85
multimeter,2,2.5,3611420.03,4439094.32,9634827.92,11347223.29,12341278.44
multimeter,2,2.55,3635965.69,4443203.03,9587050.06,11278312.23,12349954.16
multimeter,2,2.6,3633733.03,4467252.98,9586048.78,11271028.66,12258005.49
multimeter,2,2.65,3633682.84,4465806.18,9647163.74,11329695.02,12337333.51
