Label,Trial_ID,Time,S0,S1,S2,S3,S4
pen,1,0.0,4013392.96,4724684.68,9674707.18,11790058.95,13135238.94
pen,1,0.05,4015242.6,4721440.68,9675846.07,11812586.72,13115423.72
pen,1,0.1,4038141.25,4696245.76,9615867.1,11866836.05,13114798.46
pen,1,0.15,4034690.84,4697607.87,9664102.53,11880627.28,13058093.21
pen,1,0.2,4039895.55,4725958.1,9678338.88,11863142.36,13128655.05
pen,1,0.25,4014067.65,4695453.77,9624308.6,11870153.26,13053680.47
pen,1,0.3,4009096.88,4725489.64,9613780.31,11876080.55,13044429.29
pen,1,0.35,4015047.34,4723723.26,9623586.16,11790714.08,13056508.4
pen,1,0.4,4038406.81,4721171.27,9680331.55,11791255.75,13038474.98
pen,1,0.45,4034625.29,4728673.13,9674684.59,11865250.74,13038994.85
pen,1,0.5,4013667.64,4722187.55,9664764.61,11792882.89,13049892.88
pen,1,0.55,4010927.64,4720168.7,9618272.27,11861694.76,13117706.63
pen,1,0.6,4012759.71,4728154.07,9618811.89,11874951.14,13132386.28
pen,1,0.65,4039236.23,4728496.71,9666944.41,11883074.57,13114625.29
pen,1,0.7,4013603.65,4727611.86,9664305.78,11798748.44,13135248.41
pen,1,0.75,4015153.13,4721801.59,9671035.03,11865223.6,13123548.45
pen,1,0.8,4014790.06,4728900.5,9672604.25,11884186.69,13127984.37
pen,1,0.85,4039055.27,4725401.66,9617221.69,11792836.28,13051360.97
pen,1,0.9,4012793.73,4692130.47,9668872.15,11794544.37,13132197.46
pen,1,0.95,4009154.73,4697955.08,9617769.01,11865780.09,13115816.99
pen,1,1.0,4033980.82,4695401.06,9616208.08,11799548.1,13131747.32
pen,1,1.05,4036825.99,4695171.92,9613198.35,11865329.74,13116109.16
pen,1,1.1,4038952.4,4720997.82,9681648.64,11879964.13,13137464.73
pen,1,1.15,4033451.5,4700803.92,9664420.45,11866960.43,13055629.76
pen,1,1.2,4012223.19,4721495.31,9677106.33,11861475.18,13122619.41
pen,1,1.25,4010442.53,4694890.0,9613670.47,11865504.06,13047100.76
pen,1,1.3,4039950.77,4700611.54,9670563.08,11806098.43,13117440.28
pen,1,1.35,4035601.42,4728059.86,9610075.37,11810569.74,13134563.51
pen,1,1.4,4038217.92,4725671.87,9665887.03,11876629.68,13131032.17
pen,1,1.45,4014342.13,4694286.85,9608722.28,11882116.42,13118717.58
pen,1,1.5,4012437.95,4728832.34,9671347.38,11866960.57,13050186.58
pen,1,1.55,4013912.12,4699829.48,9676808.74,11880639.24,13052271.72
pen,1,1.6,4014984.19,4723038.86,9672854.0,11862906.46,13042432.49
pen,1,1.65,4033700.2,4693899.33,9666558.95,11864129.85,13117910.6
pen,1,1.7,4014509.23,4693243.5,9675988.5,11865406.78,13050754.53
pen,1,1.75,4038798.58,4720843.34,9611421.82,11795244.32,13136105.52
pen,1,1.8,4012799.67,4693953.23,9667711.67,11867279.29,13128523.54
pen,1,1.85,4015963.62,4721667.33,9679453.15,11876235.03,13133362.36
pen,1,1.9,4039331.77,4723652.8,9676399.48,11809260.35,13134370.73
pen,1,1.95,4013395.19,4723494.16,9617354.37,11812837.73,13136591.18
pen,2,2.0,4028155.31,4746960.9,9757222.08,11826250.59,13125520.72
pen,2,2.05,4028695.28,4718482.1,9694924.67,11810786.23,13066740.94
pen,2,2.1,4029686.03,4749048.99,9685156.45,11887215.64,13067024.55
pen,2,2.15,4029145.57,4749824.66,9742436.38,11879390.21,13067646.56
pen,2,2.2,4028580.71,4718993.2,9689734.02,11880784.02,13138433.59
pen,2,2.25,4006938.0,4721190.44,9748443.02,11819640.38,13047800.49
pen,2,2.3,4028259.22,4747163.45,9757061.24,11806697.51,13126931.27
pen,2,2.35,4031161.64,4754758.75,9698358.56,11883904.78,13052798.46
pen,2,2.4,4030901.83,4754435.73,9684355.43,11896080.6,13140822.2
pen,2,2.45,4033077.14,4724287.14,9741279.12,11894363.01,13125233.42
pen,2,2.5,4008438.96,4754964.2,9696131.03,11888624.9,13066113.69
pen,2,2.55,4029429.7,4719549.08,9685485.07,11813759.6,13043616.76
pen,2,2.6,4005523.59,4754001.84,9744533.59,11892303.77,13063036.87
pen,2,2.65,4005236.46,4726998.49,9756648.27,11887539.28,13131603.56
pen,2,2.7,4033038.28,4726341.76,9748959.74,11815788.14,13044099.93
pen,2,2.75,4031590.58,4726442.14,9749551.34,11881696.53,13063390.12
pen,2,2.8,4007435.33,4720037.04,9751768.86,11889549.24,13047375.39
pen,2,2.85,4032614.21,4721064.5,9745914.65,11889664.56,13058138.27
pen,2,2.9,4030914.35,4719988.06,9689356.68,11884442.46,13046857.54
pen,2,2.95,4030758.96,4720391.3,9738689.1,11819778.01,13143421.86
pen,2,3.0,4005743.7,4720724.94,9749364.15,11819047.15,13063706.11
pen,2,3.05,4003056.35,4749430.97,9746716.44,11820208.76,13136117.48
pen,2,3.1,4008055.5,4724616.27,9681956.12,11888135.79,13050557.52
pen,2,3.15,4007111.9,4725268.79,9690978.0,11896058.52,13142564.04
pen,2,3.2,4030845.59,4749628.05,9748631.19,11881202.12,13129180.79
pen,2,3.25,4005196.39,4753834.87,9690493.02,11827537.86,13138775.33
pen,2,3.3,4030190.92,4752127.16,9694128.91,11817721.83,13054770.52
pen,2,3.35,4029487.7,4748990.16,9743002.64,11827418.8,13131966.33
pen,2,3.4,4028735.6,4747388.35,9692898.67,11894641.08,13133672.71
pen,2,3.45,4033334.43,4720037.31,9692463.08,11822925.85,13057050.39
pen,2,3.5,4030711.07,4721083.49,9740658.56,11879701.5,13063961.77
pen,2,3.55,4009610.09,4725581.15,9689926.34,11828661.05,13056512.15
pen,2,3.6,4004717.2,4747834.87,9750015.89,11819386.54,13131826.81
pen,2,3.65,4034345.64,4720813.52,9738981.77,11892153.27,13052788.69
pen,2,3.7,4034826.85,4754486.31,9740243.44,11883901.25,13121739.93
pen,2,3.75,4032082.34,4752400.2,9751206.94,11889944.87,13043568.05
pen,2,3.8,4031286.17,4746267.96,9752095.62,11892878.96,13057484.36
pen,2,3.85,4010464.09,4747343.74,9741602.39,11821813.84,13056791.26
pen,2,3.9,4003863.98,4752537.34,9754610.14,11819459.05,13068425.62
pen,2,3.95,4004660.52,4752592.91,9695017.57,11882772.4,13145487.84
