Label,Trial_ID,Time,S0,S1,S2,S3,S4
ruler,1,0.0,4911904.09,5275522.24,10599016.41,11774160.19,13352863.08
ruler,1,0.05,4904838.71,5282549.63,10539949.34,11773482.64,13337579.4
ruler,1,0.1,4907740.01,5310108.41,10534961.99,11832683.01,13280323.72
ruler,1,0.15,4910210.59,5310192.2,10532601.78,11847885.49,13282510.68
ruler,1,0.2,4934677.41,5280168.96,10537183.09,11845057.26,13275610.64
ruler,1,0.25,4937930.85,5310719.5,10535856.18,11763577.59,13343570.14
ruler,1,0.3,4938028.06,5282712.2,10542373.69,11778670.36,13273979.01
ruler,1,0.35,4913125.22,5312897.85,10596817.0,11834069.81,13360861.71
ruler,1,0.4,4935636.74,5282542.66,10543907.2,11835459.84,13341659.79
ruler,1,0.45,4940790.61,5308611.87,10596553.26,11761738.02,13363074.51
ruler,1,0.5,4912260.29,5279542.22,10608896.81,11775417.08,13348891.98
ruler,1,0.55,4907615.1,5310010.98,10603885.11,11773246.62,13281253.87
ruler,1,0.6,4935357.28,5284002.22,10600958.79,11763364.63,13257543.99
ruler,1,0.65,4939008.09,5309408.86,10543892.12,11846754.94,13264873.88
ruler,1,0.7,4940269.37,5281452.26,10535966.04,11848015.16,13274045.54
ruler,1,0.75,4934285.79,5309930.86,10590492.35,11843436.07,13356408.65
ruler,1,0.8,4906166.33,5313353.39,10591461.83,11779571.22,13278727.86
ruler,1,0.85,4941561.9,5309180.03,10534064.04,11836228.83,13262033.88
ruler,1,0.9,4943160.24,5308829.66,10541944.56,11842689.91,13265132.55
ruler,1,0.95,4935960.43,5273563.89,10596550.88,11772357.75,13350818.71
ruler,1,1.0,4938351.76,5281824.27,10609231.84,11773891.73,13265634.33
ruler,1,1.05,4934270.16,5313503.25,10592948.36,11832035.39,13260674.08
ruler,1,1.1,4940695.22,5306233.59,10536811.67,11833451.19,13341639.25
ruler,1,1.15,4942809.94,5310721.81,10537062.33,11759451.03,13268418.6
ruler,1,1.2,4940461.74,5310130.62,10544376.3,11849001.71,13282305.09
ruler,1,1.25,4941763.98,5312940.72,10546550.37,11778827.43,13341565.51
ruler,1,1.3,4942970.86,5312220.26,10600072.43,11847977.93,13276611.77
