Label,Trial_ID,Time,S0,S1,S2,S3,S4
screw_driver,1,0.0,2850443.15,3210741.7,9422388.56,11686688.31,12528372.34
screw_driver,1,0.05,2868240.17,3209457.92,9493732.3,11702322.18,12532805.52
screw_driver,1,0.1,2871922.12,3191086.23,9482051.91,11693456.62,12448886.23
screw_driver,1,0.15,2854839.63,3190850.93,9419018.92,11682426.19,12516405.08
screw_driver,1,0.2,2867089.52,3185703.86,9489478.01,11625224.55,12515486.97
screw_driver,1,0.25,2868169.91,3190576.7,9489547.52,11695012.38,12440832.41
screw_driver,1,0.3,2855153.84,3190512.48,9489842.09,11620116.75,12526159.15
screw_driver,1,0.35,2853348.22,3187051.1,9436949.94,11688124.71,12459450.86
screw_driver,1,0.4,2871165.08,3187785.91,9485867.64,11697863.22,12526320.09
screw_driver,1,0.45,2869894.75,3189472.52,9487680.72,11688815.81,12527103.38
screw_driver,1,0.5,2866865.21,3186657.4,9492010.28,11624989.87,12442513.49
screw_driver,1,0.55,2854457.23,3209130.88,9490913.38,11686593.43,12516216.68
screw_driver,1,0.6,2854076.41,3190270.02,9426227.58,11692363.14,12447904.26
screw_driver,1,0.65,2869502.72,3208090.84,9485737.95,11616028.23,12535585.26
screw_driver,1,0.7,2867355.32,3185566.68,9484525.41,11621438.11,12531962.18
screw_driver,1,0.75,2868750.44,3188119.15,9487322.81,11627199.49,12529833.22
screw_driver,1,0.8,2850561.58,3207493.86,9436564.98,11683941.08,12446743.65
screw_driver,1,0.85,2853985.56,3208862.61,9434484.08,11624071.96,12449592.62
screw_driver,1,0.9,2852783.9,3189284.23,9485788.08,11682244.9,12450270.01
screw_driver,1,0.95,2849781.46,3206778.6,9420717.98,11687100.52,12450832.44
screw_driver,1,1.0,2871707.94,3206272.37,9431115.68,11694371.9,12530555.41
screw_driver,1,1.05,2853167.74,3190744.45,9480069.31,11697943.04,12454425.57
screw_driver,1,1.1,2868432.07,3207718.67,9429873.62,11610739.52,12532324.96
screw_driver,1,1.15,2853919.96,3188989.11,9426554.97,11697278.96,12443236.69
screw_driver,1,1.2,2871510.11,3188753.04,9421730.34,11626490.47,12515075.73
screw_driver,1,1.25,2872223.97,3189758.19,9423618.88,11685471.39,12441529.54
screw_driver,1,1.3,2872187.96,3208761.65,9488066.3,11688799.08,12456576.12
screw_driver,1,1.35,2870920.64,3189679.2,9436247.78,11629251.37,12524064.61
screw_driver,1,1.4,2850626.91,3187009.57,9483842.56,11687934.02,12535514.02
screw_driver,1,1.45,2871431.68,3207698.14,9486877.06,11622312.32,12531665.11
screw_driver,1,1.5,2868000.08,3189422.16,9424511.42,11629711.32,12533961.49
screw_driver,1,1.55,2868291.3,3185959.22,9480854.18,11697544.06,12524069.31
screw_driver,1,1.6,2871788.98,3189718.42,9432654.29,11610939.82,12513805.22
screw_driver,1,1.65,2854118.4,3204499.74,9425013.07,11681710.51,12516577.38
screw_driver,1,1.7,2852503.59,3204813.37,9427689.03,11628136.72,12447337.32
screw_driver,1,1.75,2871606.62,3189519.3,9422032.81,11694775.95,12458077.45
screw_driver,1,1.8,2854081.38,3206392.39,9423076.71,11619038.22,12450596.6
screw_driver,1,1.85,2869463.08,3188090.96,9492101.88,11632289.47,12445554.86
screw_driver,1,1.9,2870237.83,3188419.94,9490188.53,11691517.42,12532604.79
screw_driver,1,1.95,2854854.13,3189179.42,9478778.42,11616346.85,12445272.23
screw_driver,2,2.0,2867794.89,3192695.53,9479032.67,11687659.73,12452474.58
screw_driver,2,2.05,2846576.6,3212035.9,9420250.07,11601639.87,12449753.55
