Label,Trial_ID,Time,S0,S1,S2,S3,S4
smart_phone,1,0.0,2973643.59,3389022.06,8842853.09,10605266.46,11534943.84
smart_phone,1,0.05,2970519.21,3388844.26,8900372.89,10587731.1,11529708.05
smart_phone,1,0.1,2971157.2,3390031.98,8897676.13,10603038.9,11451825.43
smart_phone,1,0.15,2970064.65,3409185.13,8855006.26,10659005.92,11456901.89
smart_phone,1,0.2,2956445.64,3411363.63,8902708.42,10596141.52,11463242.66
smart_phone,1,0.25,2970560.55,3413474.04,8841899.94,10591171.46,11537182.7
smart_phone,1,0.3,2972607.36,3391582.45,8899746.28,10669248.15,11519381.6
smart_phone,1,0.35,2971689.11,3388980.39,8853371.16,10597298.57,11530429.28
smart_phone,1,0.4,2954614.41,3390057.85,8907075.4,10661998.97,11461148.23
smart_phone,1,0.45,2956303.21,3392612.43,8906449.31,10606973.12,11532371.95
smart_phone,1,0.5,2955230.02,3408909.02,8907532.22,10667696.6,11470805.27
smart_phone,1,0.55,2971711.28,3389270.98,8904372.66,10651144.53,11518260.15
smart_phone,1,0.6,2954692.68,3393668.65,8845050.24,10658991.83,11526008.82
smart_phone,1,0.65,2971766.35,3394310.35,8845155.62,10656256.66,11521987.98
smart_phone,1,0.7,2970863.7,3391543.95,8848543.09,10587603.83,11449905.05
smart_phone,1,0.75,2971721.48,3409008.69,8909673.32,10669755.27,11526437.72
smart_phone,1,0.8,2952254.48,3387990.08,8911966.9,10660113.73,11522014.01
smart_phone,1,0.85,2972239.03,3410160.67,8911083.43,10589934.21,11460578.98
smart_phone,1,0.9,2956768.19,3411477.47,8899773.38,10608039.64,11467359.48
smart_phone,1,0.95,2956104.03,3414424.05,8857381.89,10600436.1,11520502.7
smart_phone,1,1.0,2969984.36,3414075.54,8849177.05,10600142.78,11460748.92
smart_phone,1,1.05,2974892.34,3391846.17,8903766.57,10668867.6,11519576.58
smart_phone,1,1.1,2971339.09,3387987.04,8903814.76,10598687.29,11466794.07
smart_phone,1,1.15,2953360.16,3392925.28,8847518.48,10599268.48,11526203.5
smart_phone,1,1.2,2951727.82,3412207.4,8857201.44,10596949.61,11463582.97
smart_phone,1,1.25,2970430.37,3389157.17,8846833.21,10657175.05,11453814.81
smart_phone,1,1.3,2971412.6,3411557.89,8850923.91,10596219.05,11468737.78
smart_phone,1,1.35,2972248.24,3393490.6,8843372.97,10654408.75,11452759.04
